1508747726995;ERROR_EVENT;picture is too late to be displayed (missing 3559 ms);
1508747727036;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727041;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727047;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727047;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727064;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727069;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727074;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727074;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727082;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727093;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727093;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727097;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727097;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727109;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727114;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727129;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727137;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727137;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727141;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727149;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727157;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727165;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727171;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727178;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727182;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727189;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727203;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727204;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727204;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727213;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727221;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727226;ERROR_EVENT;More than 4 late frames, dropping frame;
1508747727;STATUS;23;6749;0.500000;Playing;Playing;
1508747729;STATUS;24;6792;21.500000;Playing;Playing;
1508747731;STATUS;24;6840;24.000000;Playing;Playing;
1508747733;STATUS;24;6889;24.500000;Playing;Playing;
1508747734262;ERROR_EVENT;playback in danger of stalling;
1508747735;STATUS;24;6938;24.500000;Playing;Playing;
1508747737;STATUS;24;6988;25.000000;Playing;Playing;
1508747739;STATUS;24;7037;24.500000;Playing;Playing;
1508747741;STATUS;24;7085;24.000000;Playing;Playing;
1508747743;STATUS;24;7134;24.500000;Playing;Playing;
1508747745;STATUS;24;7183;24.500000;Playing;Playing;
1508747747;STATUS;24;7232;24.500000;Playing;Playing;
1508747749;STATUS;24;7280;24.000000;Playing;Playing;
1508747751;STATUS;24;7329;24.500000;Playing;Playing;
1508747753;STATUS;24;7378;24.500000;Playing;Playing;
1508747755;STATUS;24;7427;24.500000;Playing;Playing;
1508747757;STATUS;24;7476;24.500000;Playing;Playing;
1508747759;STATUS;24;7525;24.500000;Playing;Playing;
1508747761;STATUS;24;7574;24.500000;Playing;Playing;
1508747763;STATUS;24;7623;24.500000;Playing;Playing;
1508747765;STATUS;24;7671;24.000000;Playing;Playing;
1508747767;STATUS;24;7720;24.500000;Playing;Playing;
1508747769;STATUS;24;7769;24.500000;Playing;Playing;
1508747771;STATUS;24;7793;12.000000;Playing;Playing;
1508747773;STATUS;24;7842;24.500000;Playing;Playing;
1508747775;STATUS;24;7891;24.500000;Playing;Playing;
1508747777;STATUS;24;7940;24.500000;Playing;Playing;
1508747779;STATUS;24;7989;24.500000;Playing;Playing;
1508747781;STATUS;24;8038;24.500000;Playing;Playing;
1508747783;STATUS;24;8087;24.500000;Playing;Playing;
1508747785;STATUS;24;8135;24.000000;Playing;Playing;
1508747787;STATUS;24;8184;24.500000;Playing;Playing;
1508747789;STATUS;24;8233;24.500000;Playing;Playing;
1508747791;STATUS;24;8281;24.000000;Playing;Playing;
1508747793;STATUS;24;8330;24.500000;Playing;Playing;
1508747795;STATUS;24;8379;24.500000;Playing;Playing;
1508747797;STATUS;24;8428;24.500000;Playing;Playing;
1508747799;STATUS;24;8478;25.000000;Playing;Playing;
1508747801;STATUS;24;8526;24.000000;Playing;Playing;
1508747803;STATUS;24;8575;24.500000;Playing;Playing;
1508747805;STATUS;24;8623;24.000000;Playing;Playing;
1508747807;STATUS;24;8671;24.000000;Playing;Playing;
1508747809;STATUS;24;8720;24.500000;Playing;Playing;
1508747811;STATUS;24;8769;24.500000;Playing;Playing;
1508747813;STATUS;24;8818;24.500000;Playing;Playing;
1508747815;STATUS;24;8868;25.000000;Playing;Playing;
1508747817;STATUS;24;8917;24.500000;Playing;Playing;
1508747819;STATUS;24;8965;24.000000;Playing;Playing;
1508747821;STATUS;24;9014;24.500000;Playing;Playing;
1508747823;STATUS;24;9063;24.500000;Playing;Playing;
1508747825;STATUS;24;9112;24.500000;Playing;Playing;
1508747827;STATUS;24;9160;24.000000;Playing;Playing;
1508747829;STATUS;24;9209;24.500000;Playing;Playing;
1508747831;STATUS;24;9233;12.000000;Playing;Playing;
1508747833;STATUS;24;9282;24.500000;Playing;Playing;
1508747835;STATUS;24;9330;24.000000;Playing;Playing;
1508747837;STATUS;24;9379;24.500000;Playing;Playing;
1508747839;STATUS;24;9427;24.000000;Playing;Playing;
1508747841;STATUS;24;9476;24.500000;Playing;Playing;
1508747843;STATUS;24;9525;24.500000;Playing;Playing;
1508747845;STATUS;24;9574;24.500000;Playing;Playing;
1508747847;STATUS;24;9623;24.500000;Playing;Playing;
1508747849;STATUS;24;9671;24.000000;Playing;Playing;
1508747850345;ERROR_EVENT;playback in danger of stalling;
1508747851;STATUS;24;9720;24.500000;Playing;Playing;
1508747853;STATUS;24;9769;24.500000;Playing;Playing;
1508747855;STATUS;24;9818;24.500000;Playing;Playing;
1508747857;STATUS;24;9867;24.500000;Playing;Playing;
1508747858137;ERROR_EVENT;playback in danger of stalling;
1508747859;STATUS;24;9867;0.000000;Playing;Playing;
1508747861;STATUS;24;9867;0.000000;Playing;Playing;
1508747863;STATUS;24;10007;70.000000;Playing;Playing;
1508747865;STATUS;24;10055;24.000000;Playing;Playing;
1508747867;STATUS;24;10103;24.000000;Playing;Playing;
1508747869;STATUS;24;10152;24.500000;Playing;Playing;
1508747870637;ERROR_EVENT;playback in danger of stalling;
1508747871;STATUS;24;10201;24.500000;Playing;Playing;
1508747873;STATUS;24;10249;24.000000;Playing;Playing;
1508747875;STATUS;24;10298;24.500000;Playing;Playing;
1508747877;STATUS;24;10347;24.500000;Playing;Playing;
1508747879;STATUS;24;10395;24.000000;Playing;Playing;
1508747880303;ERROR_EVENT;playback in danger of stalling;
1508747881;STATUS;24;10444;24.500000;Playing;Playing;
1508747883;STATUS;24;10493;24.500000;Playing;Playing;
1508747885;STATUS;24;10542;24.500000;Playing;Playing;
1508747887;STATUS;24;10590;24.000000;Playing;Playing;
1508747889;STATUS;24;10639;24.500000;Playing;Playing;
1508747891;STATUS;24;10688;24.500000;Playing;Playing;
1508747892262;ERROR_EVENT;playback in danger of stalling;
1508747893;STATUS;24;10736;24.000000;Playing;Playing;
1508747895;STATUS;24;10785;24.500000;Playing;Playing;
1508747897;STATUS;24;10834;24.500000;Playing;Playing;
1508747899;STATUS;24;10883;24.500000;Playing;Playing;
1508747901;STATUS;24;10931;24.000000;Playing;Playing;
1508747903;STATUS;24;10980;24.500000;Playing;Playing;
1508747905;STATUS;24;11028;24.000000;Playing;Playing;
1508747907;STATUS;24;11077;24.500000;Playing;Playing;
1508747908303;ERROR_EVENT;playback in danger of stalling;
1508747909;STATUS;24;11125;24.000000;Playing;Playing;
1508747911;STATUS;24;11175;25.000000;Playing;Playing;
1508747913;STATUS;24;11223;24.000000;Playing;Playing;
1508747915;STATUS;24;11271;24.000000;Playing;Playing;
1508747917;STATUS;24;11320;24.500000;Playing;Playing;
1508747919;STATUS;24;11368;24.000000;Playing;Playing;
1508747921;STATUS;24;11418;25.000000;Playing;Playing;
1508747923;STATUS;24;11442;12.000000;Playing;Playing;
1508747925;STATUS;24;11491;24.500000;Playing;Playing;
1508747927;STATUS;24;11539;24.000000;Playing;Playing;
1508747929;STATUS;24;11588;24.500000;Playing;Playing;
1508747931;STATUS;24;11637;24.500000;Playing;Playing;
1508747933;STATUS;24;11686;24.500000;Playing;Playing;
1508747935;STATUS;24;11735;24.500000;Playing;Playing;
1508747937;STATUS;24;11784;24.500000;Playing;Playing;
1508747939;STATUS;24;11833;24.500000;Playing;Playing;
1508747941;STATUS;24;11881;24.000000;Playing;Playing;
1508747943;STATUS;24;11930;24.500000;Playing;Playing;
1508747945;STATUS;24;11979;24.500000;Playing;Playing;
1508747947;STATUS;24;12027;24.000000;Playing;Playing;
1508747948928;ERROR_EVENT;playback in danger of stalling;
1508747949;STATUS;24;12076;24.500000;Playing;Playing;
1508747951;STATUS;24;12126;25.000000;Playing;Playing;
1508747953;STATUS;24;12175;24.500000;Playing;Playing;
1508747955;STATUS;24;12224;24.500000;Playing;Playing;
1508747957;STATUS;24;12273;24.500000;Playing;Playing;
1508747959;STATUS;24;12321;24.000000;Playing;Playing;
1508747961;STATUS;24;12370;24.500000;Playing;Playing;
1508747963;STATUS;24;12419;24.500000;Playing;Playing;
1508747965;STATUS;24;12468;24.500000;Playing;Playing;
1508747967;STATUS;24;12517;24.500000;Playing;Playing;
1508747968553;ERROR_EVENT;playback in danger of stalling;
1508747969;STATUS;24;12566;24.500000;Playing;Playing;
1508747971;STATUS;24;12616;25.000000;Playing;Playing;
1508747973;STATUS;24;12665;24.500000;Playing;Playing;
1508747975;STATUS;24;12714;24.500000;Playing;Playing;
1508747977;STATUS;24;12762;24.000000;Playing;Playing;
1508747978178;ERROR_EVENT;playback in danger of stalling;
1508747979;STATUS;24;12762;0.000000;Playing;Playing;
1508747981;STATUS;24;12839;38.500000;Playing;Playing;
1508747983;STATUS;24;12887;24.000000;Playing;Playing;
1508747985;STATUS;24;12935;24.000000;Playing;Playing;
